;artist;bbscore;votescore;black;male;song_no;album_no;first_album;career;bbscore_per_year;unique_words;total_words;avg_wordpersong;avg_uniquewordpersong;charlengs;avg_wordlength;r50_unique_words;r50_total_words;profan_words;gang_words;brand_words;profan_percent;gang_percent;brand_percent;bb100;vote100;positive;negative;anger;anticipation;disgust;fear;joy;sadness;surprise;trust;positive_ps;negative_ps;anger_ps;anticipation_ps;disgust_ps;fear_ps;joy_ps;sadness_ps;surprise_ps;trust_ps;positive_percent;negative_percent;anger_percent;anticipation_percent;disgust_percent;fear_percent;joy_percent;sadness_percent;surprise_percent;trust_percent;profan_ps;gang_ps;brand_ps;topic_music;topic_love;topic_life;topic_real;topic_money;topic_street;topic_sex;topic_music_percent;topic_love_percent;topic_life_percent;topic_real_percent;topic_money_percent;topic_street_percent;topic_sex_percent
72;jcole;233.0;39.0;0.0;1;204;15;2007.0;12.0;19.416666666666668;6381;57089;279.8480392156863;170.13065326633162;288190;5.0480828180560176;3309;15690;2810;1333;117;0.0492213911611694;0.023349506910262927;0.0020494315892728896;48.94957983193277;78.0;5039;5485;3258;2924;2482;2549;2757;2409;1529;3168;24.700980392156858;26.887254901960784;15.970588235294118;14.333333333333336;12.166666666666664;12.495098039215687;13.514705882352944;11.808823529411766;7.495098039215686;15.529411764705882;0.08826569041321446;0.09607805356548547;0.05706878733206047;0.05121827322251222;0.0434759761074813;0.04464958223125296;0.048293016167738095;0.0421972709278495;0.026782742735027763;0.055492301494158236;13.774509803921571;6.534313725490196;0.5735294117647058;41;16;107;18;7;6;12;0.20098039215686275;0.0784313725490196;0.5245098039215687;0.08823529411764706;0.03431372549019608;0.029411764705882353;0.058823529411764705
73;jeezy;44.0;;1.0;1;245;14;2005.0;14.0;3.1428571428571432;6392;66978;273.3795918367347;150.0082644628099;328483;4.904341724148229;2776;13783;3750;2081;206;0.055988533548329306;0.03106990355041954;0.00307563677625489;9.243697478991598;0.0;5508;6174;4257;3264;2993;2796;2918;2434;1816;3443;22.48163265306123;25.2;17.375510204081632;13.322448979591837;12.216326530612244;11.412244897959186;11.910204081632653;9.93469387755102;7.412244897959184;14.053061224489793;0.08223595807578607;0.09217952163396936;0.06355818328406343;0.04873241960046582;0.044686314909373234;0.04174505061363433;0.04356654423840664;0.03634029084176894;0.02711338051300427;0.051404938935172735;15.306122448979592;8.493877551020407;0.8408163265306122;6;8;44;38;105;26;19;0.024489795918367346;0.0326530612244898;0.17959183673469387;0.15510204081632653;0.42857142857142855;0.10612244897959183;0.07755102040816327
74;jholiday;64.0;;1.0;1;56;3;2007.0;12.0;5.333333333333333;1490;10116;180.64285714285717;81.05357142857143;47914;4.736457097667062;1411;9146;74;89;6;0.007315144325820481;0.008797943851324635;0.0005931198102016608;13.445378151260504;0.0;985;567;285;410;150;250;728;258;186;326;17.589285714285715;10.125;5.089285714285714;7.321428571428571;2.6785714285714284;4.464285714285714;13.0;4.607142857142857;3.321428571428572;5.821428571428571;0.09737050217477264;0.05604982206405694;0.02817319098457888;0.04052985369711348;0.01482799525504152;0.0247133254250692;0.0719652036378015;0.025504151838671413;0.018386714116251486;0.03222617635429023;1.3214285714285714;1.5892857142857142;0.10714285714285714;0;32;16;3;0;2;3;0.0;0.5714285714285714;0.2857142857142857;0.05357142857142857;0.0;0.03571428571428571;0.05357142857142857
75;juelzsantana;29.0;;1.0;1;75;3;2003.0;16.0;1.8125;3773;20612;274.82666666666665;153.78666666666666;101860;4.941781486512711;2879;13715;762;820;35;0.03696875606442849;0.03978265088298079;0.0016980399767125946;6.0924369747899165;0.0;1484;1749;1177;924;749;921;841;793;631;883;19.786666666666665;23.32;15.693333333333333;12.32;9.986666666666666;12.28;11.213333333333333;10.573333333333334;8.413333333333334;11.773333333333332;0.07199689501261401;0.08485348340772365;0.05710265864544925;0.0448282553852125;0.03633805550164952;0.044682709101494265;0.040801474869008335;0.03847273432951678;0.030613235008732774;0.042839122841063455;10.16;10.933333333333335;0.4666666666666667;8;9;11;5;16;19;7;0.10666666666666667;0.12;0.14666666666666667;0.06666666666666667;0.21333333333333335;0.25333333333333335;0.09333333333333334
76;juicewrld;43.0;;1.0;1;192;4;2017.0;2.0;21.5;4461;42674;222.26041666666663;105.40837696335079;209013;4.8979003608754725;1935;9837;2098;1480;157;0.04916342503632188;0.034681539110465384;0.0036790551623939634;9.033613445378153;0.0;3277;4826;3127;1778;2323;2831;1964;2504;1098;1809;17.067708333333332;25.13541666666667;16.286458333333332;9.260416666666666;12.098958333333336;14.744791666666664;10.229166666666666;13.041666666666664;5.71875;9.421875;0.07679148896283451;0.11308993766696347;0.07327646810704411;0.04166471387730234;0.0544359563200075;0.06634016028495103;0.04602333973848245;0.05867741481932792;0.02572995266438581;0.042391151520832365;10.927083333333336;7.708333333333332;0.8177083333333334;6;10;75;9;35;5;57;0.03125;0.052083333333333336;0.390625;0.046875;0.18229166666666666;0.026041666666666668;0.296875
77;juicyj;25.0;;1.0;1;299;15;2002.0;17.0;1.4705882352941178;6022;75165;251.38795986622074;128.17182130584192;371335;4.9402647508813935;2483;13211;5446;3187;239;0.07245393467704384;0.04240005321625757;0.003179671389609527;5.2521008403361344;0.0;5154;7604;5730;2987;3724;3992;2990;3241;2185;3454;17.23745819397993;25.431438127090306;19.163879598662206;9.989966555183946;12.45484949832776;13.351170568561873;10.0;10.839464882943144;7.3076923076923075;11.551839464882946;0.06856914787467573;0.10116410563427126;0.07623228896427857;0.03973924033792323;0.04954433579458525;0.05310982505155325;0.039779152531098254;0.043118472693407836;0.029069380695802567;0.0459522384088339;18.214046822742475;10.65886287625418;0.7993311036789298;5;17;8;41;64;51;119;0.016722408026755852;0.056856187290969896;0.026755852842809364;0.13712374581939799;0.2140468227424749;0.1705685618729097;0.3979933110367893
78;kanyewest;345.0;41.0;1.0;1;192;10;2004.0;15.0;23.0;6458;48974;255.07291666666663;145.44791666666666;250280;5.1104667782905215;2932;11817;1405;1009;160;0.02868869195899865;0.020602768816106502;0.003267039653693797;72.47899159663866;82.0;4387;3911;2235;2407;1633;1986;2569;1921;1326;2519;22.84895833333333;20.369791666666668;11.640625;12.536458333333336;8.505208333333334;10.34375;13.380208333333336;10.005208333333334;6.90625;13.119791666666664;0.0895781435047168;0.07985870053497775;0.045636460162535225;0.04914852779025605;0.033344223465512315;0.04055212970147425;0.05245640543962103;0.03922489484216115;0.02707559112998734;0.051435455547841714;7.317708333333332;5.255208333333333;0.8333333333333334;41;12;81;27;9;3;20;0.21354166666666666;0.0625;0.421875;0.140625;0.046875;0.015625;0.10416666666666667
79;kendricklamar;247.0;47.0;1.0;1;153;8;2009.0;10.0;24.7;7026;47128;308.0261437908497;198.625;253834;5.386054999151248;3707;14341;1736;1354;102;0.03683585129859107;0.028730266508232894;0.0021643184518757427;51.89075630252101;94.0;4459;4656;2627;2259;1840;2633;2290;2443;1166;2657;29.1437908496732;30.43137254901961;17.169934640522875;14.764705882352944;12.026143790849671;17.209150326797385;14.967320261437907;15.967320261437907;7.620915032679738;17.366013071895427;0.09461466644033273;0.09879477168562212;0.05574180953997624;0.04793328806654218;0.03904260736717026;0.055869122390086574;0.0485910711254456;0.051837548803259206;0.02474113053810898;0.05637837379052792;11.34640522875817;8.849673202614381;0.6666666666666666;67;15;55;2;1;9;14;0.43790849673202614;0.09803921568627451;0.35947712418300654;0.013071895424836602;0.006535947712418301;0.058823529411764705;0.0915032679738562
80;kentjones;28.0;;1.0;1;10;1;2016.0;3.0;9.333333333333334;899;2678;267.8;131.6;13615;5.084017923823748;899;2678;64;26;2;0.02389843166542196;0.009708737864077669;0.0007468259895444362;5.882352941176469;0.0;272;152;103;111;75;88;172;81;53;153;27.2;15.2;10.3;11.1;7.5;8.8;17.2;8.1;5.3;15.3;0.10156833457804333;0.05675877520537715;0.038461538461538464;0.041448842419716206;0.02800597460791636;0.032860343539955185;0.0642270351008215;0.030246452576549662;0.01979088872292756;0.05713218820014936;6.4;2.6;0.2;3;3;1;0;1;0;2;0.3;0.3;0.1;0.0;0.1;0.0;0.2
81;kevingates;43.0;;1.0;1;267;20;2007.0;12.0;3.583333333333333;7170;75992;284.6142322097378;169.26294820717132;397771;5.234379934729972;3198;14041;3025;2560;160;0.03980682177071272;0.03368775660595852;0.0021054847878724074;9.033613445378153;0.0;6479;7136;4196;3182;2747;3856;3556;3359;1909;3831;24.26591760299625;26.72659176029963;15.715355805243444;11.917602996254681;10.288389513108614;14.441947565543073;13.318352059925092;12.58052434456929;7.149812734082397;14.348314606741571;0.0852589746289083;0.09390462153910938;0.05521633856195389;0.0418728287188125;0.0361485419517844;0.05074218338772502;0.04679439941046426;0.044202021265396366;0.025121065375302662;0.05041320138961996;11.329588014981274;9.588014981273409;0.599250936329588;13;20;85;42;30;27;51;0.04868913857677903;0.0749063670411985;0.31835205992509363;0.15730337078651685;0.11235955056179775;0.10112359550561797;0.19101123595505617
82;kidcudi;45.0;16.0;1.0;1;149;7;2008.0;11.0;4.090909090909091;3824;24482;164.30872483221478;89.06122448979592;125409;5.122498161914876;2020;8948;550;338;19;0.022465484846009312;0.013806061596274814;0.0007760803855894128;9.453781512605042;32.0;2203;2162;1138;1221;798;1215;1308;1118;700;1199;14.78523489932886;14.510067114093962;7.6375838926174495;8.194630872483222;5.355704697986577;8.154362416107382;8.778523489932885;7.503355704697987;4.697986577181208;8.046979865771812;0.08998447839228821;0.08830977861285842;0.04648313046319745;0.049873376358140674;0.03259537619475533;0.04962829834163875;0.05342700759741851;0.04566620374152439;0.028592435258557307;0.0489747569643003;3.6912751677852342;2.2684563758389262;0.12751677852348994;24;15;92;11;0;3;4;0.1610738255033557;0.10067114093959731;0.6174496644295302;0.0738255033557047;0.0;0.020134228187919462;0.026845637583892617
