;YEAR;profan_words;gang_words;brand_words;song_no;album_no;unique_words;total_words;profan_percent;gang_percent;brand_percent;avg_wordpersong;charlengs;avg_wordlength;avg_uniquewordpersong;positive;negative;anger;anticipation;disgust;fear;joy;sadness;surprise;trust;profan_ps;gang_ps;brand_ps;positive_ps;negative_ps;anger_ps;anticipation_ps;disgust_ps;fear_ps;joy_ps;sadness_ps;surprise_ps;trust_ps;topic_music;topic_love;topic_life;topic_real;topic_money;topic_street;topic_sex;topic_music_percent;topic_love_percent;topic_life_percent;topic_real_percent;topic_money_percent;topic_street_percent;topic_sex_percent
20;2006.0;7001;6041;621;791;51;12869;213069;0.032857900492328784;0.028352317793766336;0.002914548808132577;269.36662452591656;1080174;5.069597172746856;167.1192411924119;16644;17588;10493;8856;7236;9041;8605;7510;5511;9780;8.850821744627055;7.63716814159292;0.7850821744627055;21.0417193426043;22.235145385587863;13.265486725663715;11.195954487989884;9.147914032869783;11.429835651074589;10.878634639696589;9.494310998735775;6.967130214917827;12.364096080910238;152.0;89.0;138.0;83.0;62.0;236.0;31.0;0.19216182048040456;0.1125158027812895;0.17446270543615677;0.10493046776232617;0.07838179519595449;0.29835651074589126;0.039190897597977246
21;2007.0;6336;5930;753;899;56;12613;222938;0.02842045770572985;0.026599323578752842;0.0033776206837775524;247.98442714126807;1112269;4.989140478518691;145.5776173285199;18275;17406;10573;9562;6997;8641;10565;7248;5942;10247;7.0478309232480525;6.596218020022246;0.8375973303670745;20.328142380422694;19.361512791991103;11.760845383759733;10.636262513904338;7.783092324805338;9.61179087875417;11.751946607341493;8.062291434927698;6.60956618464961;11.39822024471635;146.0;222.0;137.0;113.0;92.0;151.0;38.0;0.16240266963292546;0.24694104560622915;0.15239154616240266;0.12569521690767518;0.10233592880978866;0.16796440489432704;0.042269187986651836
22;2008.0;5921;6043;716;899;55;12918;224452;0.02637980503626611;0.02692335109511165;0.0031899916240443393;249.6685205784205;1135917;5.060845971521751;149.82069795427196;18770;17660;10741;9848;7354;8815;10621;7705;6308;10565;6.586206896551723;6.7219132369299235;0.796440489432703;20.878754171301445;19.644048943270302;11.947719688542824;10.954393770856507;8.180200222469411;9.805339265850943;11.814238042269187;8.570634037819799;7.0166852057842055;11.751946607341493;187.0;188.0;141.0;138.0;62.0;138.0;45.0;0.20800889877641823;0.20912124582869857;0.1568409343715239;0.15350389321468297;0.06896551724137931;0.15350389321468297;0.05005561735261402
23;2009.0;9158;8577;1281;1302;92;14571;318672;0.028738012752924636;0.02691482150926344;0.0040198071998795;244.7557603686636;1610096;5.052517949490385;145.26683501683502;27404;24916;16109;14383;10642;12393;16433;11110;8859;14815;7.033794162826421;6.587557603686637;0.9838709677419356;21.047619047619047;19.13671274961597;12.372503840245777;11.046850998463901;8.173579109062981;9.518433179723502;12.621351766513055;8.533026113671275;6.8041474654377865;11.378648233486945;249.0;293.0;224.0;173.0;147.0;132.0;84.0;0.1912442396313364;0.2250384024577573;0.17204301075268819;0.13287250384024576;0.11290322580645161;0.10138248847926268;0.06451612903225806
24;2010.0;9908;7281;967;1304;98;14275;306787;0.03229602297359406;0.023733078650659902;0.003152024042739751;235.26610429447854;1553810;5.0647843617884725;136.07750631844988;26325;25875;15505;14224;10798;12456;15918;11566;8184;14334;7.598159509202454;5.5835889570552135;0.7415644171779141;20.187883435582823;19.842791411042946;11.890337423312886;10.9079754601227;8.280674846625766;9.552147239263805;12.207055214723926;8.86963190184049;6.276073619631902;10.99233128834356;230.0;322.0;287.0;138.0;139.0;92.0;96.0;0.17638036809815952;0.2469325153374233;0.2200920245398773;0.1058282208588957;0.10659509202453987;0.0705521472392638;0.0736196319018405
25;2011.0;16072;10113;1136;1546;116;15291;371510;0.043261285025975066;0.02722133993701381;0.003057791176549757;240.3040103492885;1885460;5.075125837797097;145.01978798586572;31154;32942;21631;17575;14906;16853;18547;15394;10757;18352;10.395860284605432;6.541397153945667;0.7347994825355757;20.151358344113838;21.30789133247089;13.991591203104784;11.368046571798189;9.641655886157826;10.901034928848643;11.996765847347994;9.957309184993532;6.9579560155239335;11.870633893919791;228.0;213.0;329.0;185.0;244.0;113.0;234.0;0.14747736093143596;0.13777490297542044;0.2128072445019405;0.11966364812419146;0.15782664941785252;0.07309184993531695;0.15135834411384216
26;2012.0;17860;11530;1412;1612;114;15189;386166;0.046249540353112385;0.029857625995038405;0.0036564586214218758;239.55707196029775;1967784;5.095694597660073;141.36101808439383;33374;35165;23652;18694;16438;18363;19526;15960;11679;20117;11.079404466501241;7.152605459057073;0.8759305210918115;20.703473945409428;21.814516129032263;14.672456575682382;11.596774193548386;10.19727047146402;11.391439205955336;12.112903225806454;9.900744416873447;7.245037220843673;12.479528535980151;203.0;194.0;365.0;178.0;320.0;101.0;251.0;0.1259305210918114;0.12034739454094293;0.22642679900744417;0.11042183622828784;0.19851116625310175;0.06265508684863523;0.15570719602977667
27;2013.0;18512;11499;1686;1458;101;14912;349419;0.05297937433282105;0.032908914512376264;0.004825152610476248;239.65637860082302;1784378;5.106699979108177;144.8334550766983;28532;33979;22531;15773;15620;17611;16101;15379;10427;16980;12.696844993141287;7.886831275720165;1.1563786008230452;19.569272976680384;23.305212620027444;15.453360768175585;10.818244170096023;10.713305898491084;12.078875171467766;11.043209876543212;10.5480109739369;7.1515775034293565;11.646090534979427;181.0;114.0;292.0;104.0;407.0;76.0;284.0;0.12414266117969822;0.07818930041152264;0.20027434842249658;0.07133058984910837;0.27914951989026066;0.05212620027434842;0.19478737997256515
28;2014.0;14100;8432;1029;1247;97;13604;269332;0.05235174431556592;0.031307085678641974;0.0038205634681359813;215.9839615076183;1377738;5.1153891850949735;135.26075731497414;22315;25045;16332;12428;11112;12535;12522;10970;7588;13198;11.307137129109865;6.7618283881315175;0.8251804330392943;17.89494787489976;20.084202085004012;13.097032878909385;9.966319165998398;8.910986367281476;10.052125100240577;10.041700080192461;8.797113071371289;6.0850040096230975;10.583801122694467;129.0;144.0;264.0;109.0;336.0;81.0;184.0;0.10344827586206896;0.11547714514835605;0.21170809943865276;0.08740978348035285;0.2694466720128308;0.06495589414595028;0.1475541299117883
29;2015.0;25104;15064;1631;1955;151;16006;468827;0.05354640411068475;0.03213125523913938;0.003478895200148456;239.8092071611253;2385344;5.087898094606326;135.84795975405254;39882;43454;29573;21316;20127;22586;22394;19503;13506;23093;12.840920716112533;7.705370843989769;0.8342710997442455;20.4;22.227109974424554;15.126854219948846;10.903324808184145;10.295140664961638;11.552941176470588;11.454731457800513;9.975959079283887;6.9084398976982095;11.81227621483376;216.0;198.0;397.0;182.0;511.0;107.0;344.0;0.11048593350383631;0.10127877237851662;0.2030690537084399;0.09309462915601023;0.26138107416879797;0.05473145780051151;0.17595907928388746
30;2016.0;19269;11368;1312;1434;129;14017;369735;0.0521157044910544;0.030746345355457286;0.0035484874301864853;257.8347280334728;1865297;5.0449565229150615;133.0871491875923;31025;33518;23008;16762;15273;17722;17635;14959;10358;18084;13.43723849372385;7.927475592747558;0.9149232914923292;21.63528591352859;23.373779637377964;16.04463040446304;11.688981868898187;10.650627615062762;12.358437935843794;12.297768479776847;10.431659693165967;7.223152022315202;12.610878661087868;123.0;116.0;318.0;171.0;384.0;86.0;236.0;0.08577405857740586;0.08089260808926081;0.2217573221757322;0.1192468619246862;0.26778242677824265;0.0599721059972106;0.16457461645746166
31;2017.0;15942;10386;1422;1391;107;14039;371305;0.042935053392763364;0.02797161363299713;0.0038297356620568;266.9338605319914;1858170;5.00443032008726;132.51569506726455;31275;33090;21830;16562;15018;17623;17884;15604;9996;18323;11.4608195542775;7.466570812365205;1.0222861250898634;22.483824586628327;23.78864126527678;15.693745506829616;11.906542056074764;10.796549245147377;12.669302659956866;12.856937455068294;11.217828900071893;7.1861969805895045;13.1725377426312;106.0;168.0;390.0;142.0;344.0;52.0;189.0;0.07620416966211359;0.1207764198418404;0.2803738317757009;0.10208483105679367;0.24730409777138748;0.037383177570093455;0.13587347232207045
32;2018.0;15282;11077;1610;1391;118;14647;378392;0.04038668893634115;0.029273874711938937;0.0042548468255142816;272.02875629043854;1900449;5.022434406647076;137.90243902439025;31908;34080;22120;16865;14773;18497;18115;15577;10048;19132;10.986340762041696;7.96333572969087;1.1574406901509706;22.938892882818124;24.50035945363048;15.902228612508988;12.124370956146658;10.62041696621136;13.297627606038821;13.023005032350829;11.198418404025881;7.223580158159597;13.754133716750538;159.0;163.0;339.0;147.0;320.0;76.0;187.0;0.11430625449317038;0.11718188353702372;0.2437095614665708;0.10567936736161035;0.23005032350826743;0.054636951833213515;0.13443565780014377
33;2019.0;4643;3000;494;459;41;9031;119525;0.03884542982639616;0.025099351600083662;0.004133026563480443;260.40305010893246;598862;5.010349299309769;129.20935412026725;9834;10844;6719;5287;4675;5740;5791;5248;3194;5618;10.115468409586056;6.5359477124183005;1.0762527233115469;21.424836601307188;23.625272331154687;14.638344226579521;11.518518518518519;10.185185185185183;12.50544662309368;12.616557734204793;11.43355119825708;6.958605664488018;12.239651416122005;34.0;61.0;144.0;39.0;116.0;15.0;50.0;0.07407407407407407;0.1328976034858388;0.3137254901960784;0.08496732026143791;0.25272331154684097;0.032679738562091505;0.10893246187363835
